央视高清频道,#genre#
咪咕-高清赛事2,http://192.168.3.1:55555/udp/239.10.0.88:1025
咪咕-高清赛事3,http://192.168.3.1:55555/udp/239.10.0.89:1025
咪咕-高清赛事4,http://192.168.3.1:55555/udp/239.10.0.247:1025
咪咕-高清赛事5,http://192.168.3.1:55555/udp/239.10.0.248:1025
咪咕-高清赛事6,http://192.168.3.1:55555/udp/239.10.0.249:1025
咪咕-高清赛事7,http://192.168.3.1:55555/udp/239.10.0.250:1025
咪咕-高清赛事8,http://192.168.3.1:55555/udp/239.10.0.251:1025
咪咕-高清赛事9,http://192.168.3.1:55555/udp/239.10.0.252:1025
咪咕-高清赛事10,http://192.168.3.1:55555/udp/239.11.0.1:1025
咪咕-高清赛事11,http://192.168.3.1:55555/udp/239.11.0.2:1025
咪咕-高清赛事12,http://192.168.3.1:55555/udp/239.11.0.3:1025
咪咕-高清赛事13,http://192.168.3.1:55555/udp/239.11.0.4:1025
咪咕-高清赛事14,http://192.168.3.1:55555/udp/239.11.0.5:1025
咪咕-高清赛事15,http://192.168.3.1:55555/udp/239.11.0.6:1025
咪咕-高清赛事16,http://192.168.3.1:55555/udp/239.11.0.7:1025
咪咕-高清赛事17,http://192.168.3.1:55555/udp/239.11.0.8:1025
咪咕-高清赛事18,http://192.168.3.1:55555/udp/239.11.0.9:1025
咪咕-高清赛事19,http://192.168.3.1:55555/udp/239.11.0.10:1025
咪咕-高清赛事20,http://192.168.3.1:55555/udp/239.11.0.11:1025
咪咕-高清赛事21,http://192.168.3.1:55555/udp/239.11.0.12:1025
咪咕-高清赛事22,http://192.168.3.1:55555/udp/239.11.0.13:1025
咪咕-高清赛事23,http://192.168.3.1:55555/udp/239.11.0.14:1025
咪咕-高清赛事24,http://192.168.3.1:55555/udp/239.11.0.18:1025
咪咕-高清赛事25,http://192.168.3.1:55555/udp/239.11.0.19:1025
咪咕-高清赛事26,http://192.168.3.1:55555/udp/239.11.0.20:1025
咪咕-高清赛事27,http://192.168.3.1:55555/udp/239.11.0.21:1025
咪咕-高清赛事28,http://192.168.3.1:55555/udp/239.11.0.22:1025

港澳台频道,#genre#

凤凰卫视中文台,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰卫视资讯台,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8
凤凰，http://210.210.155.37/uq2663/h/h157/index2.m3u8
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8

音乐频道,#genre#

LIVE STREAM,http://61.221.215.25:8800/hls/49/index.m3u8
radio m2o,https://streamcdnb1-4c4b867c89244861ac216426883d1ad0.msvdn.net/live/S62628868/uhdWBlkC1AoO/chunklist_b1064000.m3u8
CMC,https://cmc-ono.amagi.tv/playlist.m3u8
M2TV,https://live.m2.tv/hls3/stream.m3u8
LOVETV,https://stream.nasatv.com.mk/lovetv/hls/lovetv_live.m3u8
Frist Music,http://rtmp.one.by:1200
Ru Frist Music,http://rtmp.one.by:2200
Baraza Music,https://eco.streams.ovh/BarazaTV/BarazarazaTV/BarazaTV/playlist.m3u8
arabica,http://istream.binarywaves.com:8081/hls/arabica/playlist.m3u8
Company,https://5929b138b139d.streamlock.net/CompanyTV/smil:CompanyTV.smil/master.m3u8
